"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Dec 19 20:49:57 GMT 2023","Tue Dec 19 20:50:10 GMT 2023","12621","Chrome desktop web","Accounts suite","","","","Buy a product | @e2e",""
"passed","Tue Dec 19 20:49:38 GMT 2023","Tue Dec 19 20:49:42 GMT 2023","3918","Chrome desktop web","Smoke suite","","","","One more Extra test TO PASS just for Report 8 | @e2e",""
"failed","Tue Dec 19 20:50:45 GMT 2023","Tue Dec 19 20:50:49 GMT 2023","4577","Chrome desktop web","Smoke suite","","","","One more Extra test TO FAIL just for Report 5 | @e2e",""
"passed","Tue Dec 19 20:49:42 GMT 2023","Tue Dec 19 20:49:46 GMT 2023","4053","Chrome desktop web","Smoke suite","","","","Extra test TO PASS just for Report | @e2e",""
"passed","Tue Dec 19 20:49:31 GMT 2023","Tue Dec 19 20:49:35 GMT 2023","3514","Chrome desktop web","Smoke suite","","","","Test just to pass 6| @e2e",""
"failed","Tue Dec 19 20:50:17 GMT 2023","Tue Dec 19 20:50:22 GMT 2023","4989","Chrome desktop web","Accounts suite","","","","Extra test TO FAIL just for Report 1 | @e2e",""
"passed","Tue Dec 19 20:49:35 GMT 2023","Tue Dec 19 20:49:38 GMT 2023","3450","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 7 | @e2e",""
"passed","Tue Dec 19 20:50:22 GMT 2023","Tue Dec 19 20:50:22 GMT 2023","340","Chrome desktop web","Accounts suite","","","","Extra test just for Report 2 | @e2e",""
"passed","Tue Dec 19 20:50:22 GMT 2023","Tue Dec 19 20:50:28 GMT 2023","6185","Chrome desktop web","Smoke suite","","","","Test just to pass | @e2e",""
"failed","Tue Dec 19 20:50:55 GMT 2023","Tue Dec 19 20:51:00 GMT 2023","4746","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 4 | @e2e",""
"failed","Tue Dec 19 20:50:33 GMT 2023","Tue Dec 19 20:50:38 GMT 2023","5554","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 3 | @e2e",""
