"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 19 21:23:24 GMT 2023","Tue Dec 19 21:23:27 GMT 2023","2365","Chrome desktop web","Smoke suite","","","","Test just to pass | @e2e",""
"failed","Tue Dec 19 21:23:08 GMT 2023","Tue Dec 19 21:23:09 GMT 2023","846","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 7 | @e2e",""
"skipped","Tue Dec 19 21:23:31 GMT 2023","Tue Dec 19 21:23:31 GMT 2023","0","Chrome desktop web","smoke.spec.ts","","","","Extra test TO FAIL just for Report 4 | @e2e",""
"failed","Tue Dec 19 21:23:30 GMT 2023","Tue Dec 19 21:23:31 GMT 2023","1507","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 3 | @e2e",""
"skipped","Tue Dec 19 21:23:31 GMT 2023","Tue Dec 19 21:23:31 GMT 2023","1","Chrome desktop web","smoke.spec.ts","","","","One more Extra test TO FAIL just for Report 5 | @e2e",""
"passed","Tue Dec 19 21:23:01 GMT 2023","Tue Dec 19 21:23:07 GMT 2023","5457","Chrome desktop web","Smoke suite","","","","Test just to pass 6| @e2e",""
"failed","Tue Dec 19 21:23:21 GMT 2023","Tue Dec 19 21:23:24 GMT 2023","3498","Chrome desktop web","Accounts suite","","","","Extra test TO FAIL just for Report 1 | @e2e",""
"skipped","Tue Dec 19 21:23:24 GMT 2023","Tue Dec 19 21:23:24 GMT 2023","1","Chrome desktop web","buyAProduct.spec.ts","","","","Extra test just for Report 2 | @e2e",""
"passed","Tue Dec 19 21:23:15 GMT 2023","Tue Dec 19 21:23:17 GMT 2023","2266","Chrome desktop web","Smoke suite","","","","Extra test TO PASS just for Report | @e2e",""
"passed","Tue Dec 19 21:23:14 GMT 2023","Tue Dec 19 21:23:15 GMT 2023","1164","Chrome desktop web","Smoke suite","","","","One more Extra test TO PASS just for Report 8 | @e2e",""
"skipped","Tue Dec 19 21:23:17 GMT 2023","Tue Dec 19 21:23:17 GMT 2023","1","Chrome desktop web","buyAProduct.spec.ts","","","","Buy a product | @e2e",""
