"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Dec 30 13:15:42 GMT 2023","Sat Dec 30 13:15:42 GMT 2023","596","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 3 | @e2e",""
"passed","Sat Dec 30 13:15:34 GMT 2023","Sat Dec 30 13:15:34 GMT 2023","565","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 7 | @e2e",""
"skipped","Sat Dec 30 13:15:42 GMT 2023","Sat Dec 30 13:15:42 GMT 2023","0","Chrome desktop web","smoke.spec.ts","","","","Extra test TO FAIL just for Report 4 | @e2e",""
"skipped","Sat Dec 30 13:15:35 GMT 2023","Sat Dec 30 13:15:35 GMT 2023","0","Chrome desktop web","buyAProduct.spec.ts","","","","Buy a product | @e2e",""
"passed","Sat Dec 30 13:15:39 GMT 2023","Sat Dec 30 13:15:41 GMT 2023","1463","Chrome desktop web","Smoke suite","","","","Test just to pass | @e2e",""
"skipped","Sat Dec 30 13:15:39 GMT 2023","Sat Dec 30 13:15:39 GMT 2023","0","Chrome desktop web","buyAProduct.spec.ts","","","","Extra test just for Report 2 | @e2e",""
"failed","Sat Dec 30 13:15:37 GMT 2023","Sat Dec 30 13:15:39 GMT 2023","1716","Chrome desktop web","Accounts suite","","","","Extra test TO FAIL just for Report 1 | @e2e",""
"skipped","Sat Dec 30 13:15:42 GMT 2023","Sat Dec 30 13:15:42 GMT 2023","0","Chrome desktop web","smoke.spec.ts","","","","One more Extra test TO FAIL just for Report 5 | @e2e",""
"passed","Sat Dec 30 13:15:35 GMT 2023","Sat Dec 30 13:15:35 GMT 2023","593","Chrome desktop web","Smoke suite","","","","Extra test TO PASS just for Report | @e2e",""
"passed","Sat Dec 30 13:15:32 GMT 2023","Sat Dec 30 13:15:34 GMT 2023","1701","Chrome desktop web","Smoke suite","","","","Test just to pass 6| @e2e",""
"passed","Sat Dec 30 13:15:34 GMT 2023","Sat Dec 30 13:15:35 GMT 2023","515","Chrome desktop web","Smoke suite","","","","One more Extra test TO PASS just for Report 8 | @e2e",""
