"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Dec 19 21:01:36 GMT 2023","Tue Dec 19 21:01:38 GMT 2023","1730","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 3 | @e2e",""
"failed","Tue Dec 19 21:01:00 GMT 2023","Tue Dec 19 21:01:16 GMT 2023","15573","Chrome desktop web","Accounts suite","","","","Buy a product | @e2e",""
"passed","Tue Dec 19 21:00:22 GMT 2023","Tue Dec 19 21:00:32 GMT 2023","9514","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 7 | @e2e",""
"failed","Tue Dec 19 21:01:42 GMT 2023","Tue Dec 19 21:01:45 GMT 2023","2787","Chrome desktop web","Smoke suite","","","","One more Extra test TO FAIL just for Report 5 | @e2e",""
"passed","Tue Dec 19 21:00:17 GMT 2023","Tue Dec 19 21:00:22 GMT 2023","5399","Chrome desktop web","Smoke suite","","","","Test just to pass 6| @e2e",""
"passed","Tue Dec 19 21:00:38 GMT 2023","Tue Dec 19 21:00:42 GMT 2023","3709","Chrome desktop web","Smoke suite","","","","One more Extra test TO PASS just for Report 8 | @e2e",""
"passed","Tue Dec 19 21:00:42 GMT 2023","Tue Dec 19 21:00:45 GMT 2023","2978","Chrome desktop web","Smoke suite","","","","Extra test TO PASS just for Report | @e2e",""
"passed","Tue Dec 19 21:01:28 GMT 2023","Tue Dec 19 21:01:32 GMT 2023","4067","Chrome desktop web","Smoke suite","","","","Test just to pass | @e2e",""
"failed","Tue Dec 19 21:01:23 GMT 2023","Tue Dec 19 21:01:28 GMT 2023","4417","Chrome desktop web","Accounts suite","","","","Extra test TO FAIL just for Report 1 | @e2e",""
"passed","Tue Dec 19 21:01:28 GMT 2023","Tue Dec 19 21:01:28 GMT 2023","340","Chrome desktop web","Accounts suite","","","","Extra test just for Report 2 | @e2e",""
"failed","Tue Dec 19 21:01:54 GMT 2023","Tue Dec 19 21:02:18 GMT 2023","23630","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 4 | @e2e",""
