"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 26 18:15:58 GMT 2023","Sun Nov 26 18:15:59 GMT 2023","1391","Chrome desktop web","Smoke suite","","","","Test just to pass | @e2e",""
"failed","Sun Nov 26 18:16:04 GMT 2023","Sun Nov 26 18:16:05 GMT 2023","618","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 4 | @e2e",""
"passed","Sun Nov 26 18:15:42 GMT 2023","Sun Nov 26 18:15:45 GMT 2023","2266","Chrome desktop web","Smoke suite","","","","Test just to pass 6| @e2e",""
"passed","Sun Nov 26 18:15:45 GMT 2023","Sun Nov 26 18:15:46 GMT 2023","680","Chrome desktop web","Smoke suite","","","","One more Extra test TO PASS just for Report 8 | @e2e",""
"passed","Sun Nov 26 18:15:46 GMT 2023","Sun Nov 26 18:15:46 GMT 2023","508","Chrome desktop web","Smoke suite","","","","Extra test TO PASS just for Report | @e2e",""
"failed","Sun Nov 26 18:16:00 GMT 2023","Sun Nov 26 18:16:01 GMT 2023","717","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 3 | @e2e",""
"passed","Sun Nov 26 18:15:57 GMT 2023","Sun Nov 26 18:15:58 GMT 2023","365","Chrome desktop web","Accounts suite","","","","Extra test just for Report 2 | @e2e",""
"passed","Sun Nov 26 18:15:45 GMT 2023","Sun Nov 26 18:15:45 GMT 2023","653","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 7 | @e2e",""
"failed","Sun Nov 26 18:15:55 GMT 2023","Sun Nov 26 18:15:57 GMT 2023","1722","Chrome desktop web","Accounts suite","","","","Extra test TO FAIL just for Report 1 | @e2e",""
"failed","Sun Nov 26 18:15:50 GMT 2023","Sun Nov 26 18:15:53 GMT 2023","3024","Chrome desktop web","Accounts suite","","","","Buy a product | @e2e",""
"failed","Sun Nov 26 18:16:02 GMT 2023","Sun Nov 26 18:16:03 GMT 2023","657","Chrome desktop web","Smoke suite","","","","One more Extra test TO FAIL just for Report 5 | @e2e",""
