"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 25 23:31:51 GMT 2023","Sat Nov 25 23:31:51 GMT 2023","606","Chrome desktop web","Smoke suite","","","","Extra test TO PASS just for Report | @e2e",""
"passed","Sat Nov 25 23:32:05 GMT 2023","Sat Nov 25 23:32:06 GMT 2023","1328","Chrome desktop web","Smoke suite","","","","Test just to pass | @e2e",""
"failed","Sat Nov 25 23:32:07 GMT 2023","Sat Nov 25 23:32:08 GMT 2023","722","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 3 | @e2e",""
"failed","Sat Nov 25 23:32:02 GMT 2023","Sat Nov 25 23:32:04 GMT 2023","1861","Chrome desktop web","Accounts suite","","","","Extra test TO FAIL just for Report 1 | @e2e",""
"failed","Sat Nov 25 23:31:55 GMT 2023","Sat Nov 25 23:31:59 GMT 2023","3957","Chrome desktop web","Accounts suite","","","","Buy a product | @e2e",""
"failed","Sat Nov 25 23:32:12 GMT 2023","Sat Nov 25 23:32:12 GMT 2023","749","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 4 | @e2e",""
"passed","Sat Nov 25 23:31:45 GMT 2023","Sat Nov 25 23:31:49 GMT 2023","4283","Chrome desktop web","Smoke suite","","","","Test just to pass 6| @e2e",""
"passed","Sat Nov 25 23:31:50 GMT 2023","Sat Nov 25 23:31:51 GMT 2023","590","Chrome desktop web","Smoke suite","","","","One more Extra test TO PASS just for Report 8 | @e2e",""
"passed","Sat Nov 25 23:31:49 GMT 2023","Sat Nov 25 23:31:50 GMT 2023","719","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 7 | @e2e",""
"passed","Sat Nov 25 23:32:05 GMT 2023","Sat Nov 25 23:32:05 GMT 2023","365","Chrome desktop web","Accounts suite","","","","Extra test just for Report 2 | @e2e",""
"failed","Sat Nov 25 23:32:10 GMT 2023","Sat Nov 25 23:32:10 GMT 2023","650","Chrome desktop web","Smoke suite","","","","One more Extra test TO FAIL just for Report 5 | @e2e",""
