"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 16 00:05:35 GMT 2023","Sat Dec 16 00:05:35 GMT 2023","545","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 7 | @e2e",""
"failed","Sat Dec 16 00:05:57 GMT 2023","Sat Dec 16 00:05:57 GMT 2023","647","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 4 | @e2e",""
"passed","Sat Dec 16 00:05:50 GMT 2023","Sat Dec 16 00:05:50 GMT 2023","355","Chrome desktop web","Accounts suite","","","","Extra test just for Report 2 | @e2e",""
"failed","Sat Dec 16 00:05:47 GMT 2023","Sat Dec 16 00:05:50 GMT 2023","2320","Chrome desktop web","Accounts suite","","","","Extra test TO FAIL just for Report 1 | @e2e",""
"passed","Sat Dec 16 00:05:36 GMT 2023","Sat Dec 16 00:05:36 GMT 2023","489","Chrome desktop web","Smoke suite","","","","Extra test TO PASS just for Report | @e2e",""
"failed","Sat Dec 16 00:05:41 GMT 2023","Sat Dec 16 00:05:45 GMT 2023","3870","Chrome desktop web","Accounts suite","","","","Buy a product | @e2e",""
"passed","Sat Dec 16 00:05:50 GMT 2023","Sat Dec 16 00:05:52 GMT 2023","1681","Chrome desktop web","Smoke suite","","","","Test just to pass | @e2e",""
"passed","Sat Dec 16 00:05:35 GMT 2023","Sat Dec 16 00:05:36 GMT 2023","530","Chrome desktop web","Smoke suite","","","","One more Extra test TO PASS just for Report 8 | @e2e",""
"failed","Sat Dec 16 00:05:53 GMT 2023","Sat Dec 16 00:05:54 GMT 2023","632","Chrome desktop web","Smoke suite","","","","Extra test TO FAIL just for Report 3 | @e2e",""
"failed","Sat Dec 16 00:05:55 GMT 2023","Sat Dec 16 00:05:56 GMT 2023","579","Chrome desktop web","Smoke suite","","","","One more Extra test TO FAIL just for Report 5 | @e2e",""
"passed","Sat Dec 16 00:05:32 GMT 2023","Sat Dec 16 00:05:35 GMT 2023","2236","Chrome desktop web","Smoke suite","","","","Test just to pass 6| @e2e",""
